status,symbol,side,signal_datetime,entry_price,tp_percent,sl_percent,tp_price,sl_price,hours_window,entry_hit,result,pnl,pnl_percent,exit_time,bars_in_trade,has_csv_tpsl,signal_index,exit_price,balance_after_trade
completed,DOLOUSDT,long,2025-10-24 05:30:00,0.08593,2.0,5.0,0.08764860000000001,0.0816335,16.0,True,expired,-0.7622489631765628,-1.5244979263531255,2025-10-24 13:00:00,412.0,False,98,0.08461999893188477,896.5488989460212
completed,LIGHTUSDT,long,2025-10-24 05:30:00,2.3002,2.0,5.0,2.3462039999999997,2.1851899999999995,16.0,True,win,0.9999999999999987,1.9999999999999973,2025-10-24 06:26:00,52.0,False,99,2.3462039999999997,897.5488989460212
completed,ARCUSDT,long,2025-10-24 05:30:00,0.01354,2.0,5.0,0.0138108,0.012863,16.0,True,loss,-2.5000000000000018,-5.0000000000000036,2025-10-24 09:06:00,217.0,False,100,0.012863,895.0488989460212
completed,UBUSDT,long,2025-10-24 05:30:00,0.060344,2.0,5.0,0.06155088,0.0573268,16.0,True,loss,-2.5000000000000036,-5.000000000000007,2025-10-24 05:31:00,2.0,False,101,0.0573268,892.5488989460212
completed,RIVERUSDT,long,2025-10-24 05:30:00,9.726,2.0,5.0,9.920520000000002,9.239700000000001,16.0,True,win,1.0000000000000036,2.000000000000007,2025-10-24 06:22:00,7.0,False,102,9.920520000000002,893.5488989460212
completed,XPINUSDT,long,2025-10-24 05:30:00,0.008596,2.0,5.0,0.00876792,0.008166199999999998,16.0,True,loss,-2.500000000000006,-5.000000000000012,2025-10-24 05:31:00,2.0,False,103,0.008166199999999998,891.0488989460212
completed,AIAUSDT,short,2025-10-24 05:30:00,1.307,2.0,5.0,1.2808599999999999,1.37235,16.0,True,loss,-2.500000000000001,-5.000000000000002,2025-10-24 05:31:00,2.0,False,104,1.37235,888.5488989460212
completed,IDOLUSDT,long,2025-10-24 05:30:00,0.03752,2.0,5.0,0.038270399999999996,0.035643999999999995,16.0,True,expired,-0.9461627188903153,-1.8923254377806307,2025-10-24 13:00:00,450.0,False,105,0.036809999495744705,887.6027362271309
completed,TAGUSDT,long,2025-10-24 09:30:00,0.000433,2.0,5.0,0.00044166,0.00041135,16.0,True,win,0.0,0.0,2025-10-24 11:22:00,113.0,False,106,0.00041135,887.6027362271309
completed,PROVEUSDT,long,2025-10-24 09:30:00,0.9338,2.0,5.0,0.952476,0.88711,16.0,False,no_entry,0.0,0.0,,0.0,False,107,,
completed,PIPPINUSDT,long,2025-10-24 09:30:00,0.02124,2.0,5.0,0.021664799999999998,0.020177999999999998,16.0,True,win,0.9999999999999987,1.9999999999999973,2025-10-24 10:51:00,3.0,False,108,0.021664799999999998,888.6027362271309
completed,TRUTHUSDT,long,2025-10-24 09:30:00,0.016466,2.0,5.0,0.016795320000000002,0.0156427,16.0,True,loss,-2.5000000000000075,-5.000000000000015,2025-10-24 10:50:00,81.0,False,109,0.0156427,886.1027362271309
completed,ARIAUSDT,long,2025-10-24 09:30:00,0.17999,2.0,5.0,0.18358980000000003,0.1709905,16.0,True,win,1.0000000000000038,2.0000000000000075,2025-10-24 09:31:00,2.0,False,110,0.18358980000000003,887.1027362271309
completed,PUMPBTCUSDT,long,2025-10-24 13:30:00,0.0475,2.0,5.0,0.04845,0.045125,16.0,True,win,0.9999999999999996,1.9999999999999991,2025-10-24 13:46:00,10.0,False,111,0.04845,888.1027362271309
completed,UBUSDT,long,2025-10-24 13:30:00,0.056835,2.0,5.0,0.0579717,0.05399324999999999,16.0,True,loss,-2.5000000000000036,-5.000000000000007,2025-10-24 13:31:00,2.0,False,112,0.05399324999999999,885.6027362271309
completed,LIGHTUSDT,long,2025-10-24 13:30:00,2.355,2.0,5.0,2.4021,2.23725,16.0,True,loss,-2.5000000000000004,-5.000000000000001,2025-10-24 17:36:00,247.0,False,113,2.23725,883.1027362271309
completed,FFUSDT,long,2025-10-24 13:30:00,0.1694,2.0,5.0,0.172788,0.16093,16.0,True,loss,-2.5000000000000013,-5.000000000000003,2025-10-24 13:32:00,3.0,False,114,0.16093,880.6027362271309
completed,RIVERUSDT,long,2025-10-24 13:30:00,9.867,2.0,5.0,10.064340000000001,9.37365,16.0,True,loss,-2.500000000000006,-5.000000000000012,2025-10-24 13:31:00,2.0,False,115,9.37365,878.1027362271309
completed,COAIUSDT,long,2025-10-24 13:30:00,17.692,2.0,5.0,18.045840000000002,16.807399999999998,16.0,True,win,1.0000000000000049,2.0000000000000098,2025-10-24 13:42:00,12.0,False,116,18.045840000000002,879.1027362271309
completed,AVNTUSDT,long,2025-10-24 13:30:00,0.7808,2.0,5.0,0.796416,0.74176,16.0,True,win,0.9999999999999976,1.9999999999999951,2025-10-24 13:44:00,7.0,False,117,0.796416,880.1027362271309
completed,AIAUSDT,short,2025-10-24 13:30:00,1.4042,2.0,5.0,1.376116,1.47441,16.0,True,win,1.0,2.0,2025-10-24 15:54:00,21.0,False,118,1.376116,881.1027362271309
completed,PIPPINUSDT,long,2025-10-24 17:30:00,0.02532,2.0,5.0,0.0258264,0.024054,16.0,True,win,1.0000000000000013,2.0000000000000027,2025-10-24 18:27:00,2.0,False,119,0.0258264,882.1027362271309
